HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Season,HT VAL/AT VAL,HT Form,AT Form,Form Diffrence
Everton,Man United,AD,4.5,1.84,2011,0.48,7,11,-4
Man City,Wolves,H,1.17,1.39,2011,5.63,16,1,15
Norwich,Blackburn,AD,1.91,1.85,2011,0.25,10,5,5
Sunderland,Aston Villa,AD,2.1,2.02,2011,0.79,7,6,1
Swansea,Bolton,H,2.1,1.89,2011,0.41,7,3,4
West Brom,Liverpool,AD,4.0,1.99,2011,0.33,11,8,3
Wigan,Fulham,AD,2.88,2.1,2011,0.59,0,6,-6
Tottenham,QPR,H,1.36,1.57,2011,2.98,16,9,7
Stoke,Newcastle,AD,2.1,2.19,2011,0.99,7,12,-5
Arsenal,West Brom,H,1.4,1.58,2011,3.83,12,8,4
Aston Villa,Norwich,H,1.83,1.85,2011,7.0,6,11,-5
Blackburn,Chelsea,AD,7.5,1.56,2011,0.19,5,9,-4
Liverpool,Swansea,AD,1.29,1.6,2011,6.11,11,10,1
Man United,Sunderland,H,1.25,1.48,2011,3.18,11,8,3
Newcastle,Everton,H,2.25,2.02,2011,0.63,14,6,8
QPR,Man City,AD,10.0,1.53,2011,0.23,8,16,-8
Bolton,Stoke,H,2.4,1.91,2011,0.82,3,4,-1
Fulham,Tottenham,AD,3.25,1.85,2011,0.38,8,16,-8
Wolves,Wigan,H,1.91,1.96,2011,1.17,1,0,1
Everton,Wolves,H,1.57,1.87,2011,2.32,3,4,-1
Man City,Newcastle,H,1.3,1.53,2011,3.83,18,16,2
Norwich,Arsenal,AD,5.5,1.59,2011,0.07,8,15,-7
Stoke,QPR,AD,1.83,2.04,2011,1.12,4,5,-1
Sunderland,Fulham,AD,2.3,2.07,2011,1.05,5,7,-2
Swansea,Man United,AD,6.5,1.79,2011,0.1,8,11,-3
West Brom,Bolton,H,2.0,1.79,2011,0.83,8,6,2
Wigan,Blackburn,AD,2.5,1.88,2011,0.77,0,2,-2
Chelsea,Liverpool,AD,1.83,1.86,2011,1.89,12,12,0
Tottenham,Aston Villa,H,1.57,1.6,2011,2.01,16,8,8
Arsenal,Fulham,AD,1.44,1.65,2011,2.63,15,7,8
Bolton,Everton,AD,3.1,1.85,2011,0.52,6,6,0
Chelsea,Wolves,H,1.22,1.48,2011,5.7,9,4,5
Man United,Newcastle,AD,1.4,1.69,2011,3.3,13,13,0
Norwich,QPR,H,2.1,1.83,2011,0.21,5,7,-2
Stoke,Blackburn,H,1.83,1.87,2011,1.31,3,3,0
Sunderland,Wigan,AD,1.67,1.89,2011,1.79,6,1,5
West Brom,Tottenham,AD,4.0,1.76,2011,0.26,10,16,-6
Liverpool,Man City,AD,2.75,1.84,2011,0.54,12,18,-6
Swansea,Aston Villa,AD,2.2,2.0,2011,0.26,8,7,1
Aston Villa,Man United,AD,5.0,1.88,2011,0.4,5,11,-6
Blackburn,Swansea,H,2.1,1.91,2011,2.24,3,6,-3
Man City,Norwich,H,1.17,1.37,2011,20.52,16,8,8
Newcastle,Chelsea,AD,3.5,1.92,2011,0.26,11,9,2
QPR,West Brom,AD,2.25,1.97,2011,1.3,7,9,-2
Tottenham,Bolton,H,1.3,1.45,2011,3.22,16,6,10
Wigan,Arsenal,AD,6.0,1.66,2011,0.22,4,16,-12
Everton,Stoke,AD,1.67,1.98,2011,1.6,9,6,3
Wolves,Sunderland,H,2.4,2.01,2011,0.66,4,5,-1
Fulham,Liverpool,H,3.5,2.07,2011,0.48,5,10,-5
Arsenal,Everton,H,1.53,1.75,2011,1.64,16,9,7
Bolton,Aston Villa,AD,2.5,1.83,2011,0.62,3,5,-2
Liverpool,QPR,H,1.33,1.65,2011,2.34,9,7,2
Man United,Wolves,H,1.22,1.53,2011,4.86,13,7,6
Norwich,Newcastle,H,2.4,1.81,2011,0.19,5,10,-5
Swansea,Fulham,H,2.63,2.21,2011,0.34,6,8,-2
West Brom,Wigan,AD,1.67,1.87,2011,1.16,7,4,3
Stoke,Tottenham,H,3.75,1.88,2011,0.38,6,18,-12
Sunderland,Blackburn,H,1.83,1.8,2011,1.38,5,5,0
Chelsea,Man City,H,2.4,1.77,2011,1.01,9,16,-7
Blackburn,West Brom,AD,2.38,1.73,2011,1.11,5,4,1
Everton,Norwich,AD,1.62,1.75,2011,8.45,6,7,-1
Fulham,Bolton,H,1.62,1.81,2011,1.21,8,3,5
Newcastle,Swansea,AD,1.8,1.83,2011,2.97,7,8,-1
Wigan,Chelsea,AD,9.0,1.62,2011,0.15,7,12,-5
Wolves,Stoke,AD,2.5,1.97,2011,0.69,6,9,-3
Aston Villa,Liverpool,AD,4.2,2.11,2011,0.64,8,11,-3
Man City,Arsenal,H,1.73,1.63,2011,1.48,13,16,-3
QPR,Man United,AD,7.5,1.77,2011,0.27,4,16,-12
Tottenham,Sunderland,H,1.36,1.61,2011,2.53,15,5,10
Blackburn,Bolton,AD,2.1,1.73,2011,0.92,4,3,1
Wolves,Norwich,AD,2.0,1.75,2011,3.64,6,7,-1
Aston Villa,Arsenal,AD,5.0,1.76,2011,0.51,7,13,-6
Everton,Swansea,H,1.57,2.03,2011,4.69,7,6,1
Fulham,Man United,AD,5.0,1.94,2011,0.3,8,16,-8
Man City,Stoke,H,1.22,1.49,2011,3.88,13,12,1
Newcastle,West Brom,AD,2.0,1.85,2011,1.48,5,7,-2
QPR,Sunderland,AD,2.5,2.01,2011,0.85,4,4,0
Wigan,Liverpool,AD,7.0,1.97,2011,0.28,8,11,-3
Tottenham,Chelsea,AD,2.6,1.78,2011,0.68,15,13,2
Bolton,Newcastle,AD,2.5,1.69,2011,0.81,3,2,1
Chelsea,Fulham,AD,1.3,1.68,2011,3.94,11,8,3
Liverpool,Blackburn,AD,1.25,1.58,2011,2.73,11,4,7
Man United,Wigan,H,1.14,1.43,2011,5.69,16,9,7
Stoke,Aston Villa,AD,1.91,2.0,2011,0.76,12,4,8
Sunderland,Everton,AD,2.4,2.04,2011,0.66,7,10,-3
West Brom,Man City,AD,7.0,1.59,2011,0.18,10,13,-3
Arsenal,Wolves,AD,1.22,1.49,2011,3.8,13,4,9
Norwich,Tottenham,AD,4.5,1.63,2011,0.07,8,13,-5
Swansea,QPR,AD,2.0,2.03,2011,0.38,5,4,1
Liverpool,Newcastle,H,1.53,1.95,2011,2.06,9,5,4
Arsenal,QPR,H,1.25,1.55,2011,2.94,11,2,9
Bolton,Wolves,AD,2.2,1.74,2011,1.2,3,5,-2
Chelsea,Aston Villa,AD,1.29,1.58,2011,2.97,12,5,7
Man United,Blackburn,AD,1.13,1.38,2011,4.39,16,4,12
Norwich,Fulham,AD,2.6,1.9,2011,0.19,8,8,0
Stoke,Wigan,AD,1.67,1.88,2011,1.7,13,8,5
Swansea,Tottenham,AD,5.5,1.84,2011,0.13,6,13,-7
Sunderland,Man City,H,6.5,1.7,2011,0.27,7,11,-4
West Brom,Everton,AD,2.6,2.06,2011,0.43,8,8,0
Aston Villa,Swansea,AD,1.83,2.11,2011,3.89,7,6,1
Blackburn,Stoke,AD,2.5,1.88,2011,0.76,7,11,-4
Fulham,Arsenal,H,4.0,1.88,2011,0.38,8,13,-5
QPR,Norwich,AD,2.1,1.89,2011,4.71,2,6,-4
Wolves,Chelsea,AD,6.0,1.76,2011,0.18,6,9,-3
Man City,Liverpool,H,1.91,1.98,2011,1.86,10,11,-1
Tottenham,West Brom,H,1.33,1.61,2011,3.88,11,8,3
Wigan,Sunderland,AD,2.63,2.05,2011,0.56,6,10,-4
Everton,Bolton,AD,1.5,1.87,2011,1.94,8,4,4
Newcastle,Man United,H,5.0,1.84,2011,0.3,4,15,-11
Tottenham,Everton,H,1.53,1.92,2011,1.66,11,8,3
Aston Villa,Everton,AD,2.4,2.2,2011,0.83,7,8,-1
Blackburn,Fulham,H,3.0,1.92,2011,0.76,4,8,-4
Chelsea,Sunderland,H,1.4,1.64,2011,3.74,9,13,-4
Liverpool,Stoke,AD,1.4,1.85,2011,2.08,11,11,0
Man United,Bolton,H,1.14,1.34,2011,4.06,12,7,5
Tottenham,Wolves,AD,1.25,1.51,2011,3.85,14,3,11
West Brom,Norwich,AD,2.0,1.8,2011,3.62,7,9,-2
Newcastle,QPR,H,1.73,1.89,2011,1.14,7,1,6
Swansea,Arsenal,H,4.75,1.93,2011,0.13,9,10,-1
Wigan,Man City,AD,9.0,1.62,2011,0.15,6,10,-4
Bolton,Liverpool,H,6.0,1.82,2011,0.4,7,9,-2
Everton,Blackburn,AD,1.53,1.83,2011,2.1,8,7,1
Fulham,Newcastle,H,2.0,2.03,2011,0.98,8,10,-2
Norwich,Chelsea,AD,5.5,1.59,2011,0.05,9,9,0
QPR,Wigan,H,2.0,2.04,2011,1.51,1,3,-2
Stoke,West Brom,AD,1.91,1.98,2011,1.46,9,7,2
Sunderland,Swansea,H,1.91,2.16,2011,3.08,10,9,1
Wolves,Aston Villa,AD,2.5,2.05,2011,0.52,4,5,-1
Arsenal,Man United,AD,2.8,1.79,2011,0.78,7,12,-5
Man City,Tottenham,H,1.91,1.77,2011,1.46,13,12,1
Everton,Man City,H,4.33,1.96,2011,0.41,6,13,-7
Man United,Stoke,H,1.33,1.63,2011,3.35,12,6,6
Swansea,Chelsea,AD,4.0,2.05,2011,0.09,8,9,-1
Tottenham,Wigan,H,1.22,1.52,2011,4.51,11,2,9
Wolves,Liverpool,AD,5.0,1.96,2011,0.33,4,6,-2
Aston Villa,QPR,AD,1.8,2.02,2011,1.49,8,4,4
Blackburn,Newcastle,AD,2.63,1.78,2011,0.75,8,9,-1
Bolton,Arsenal,AD,5.0,1.63,2011,0.32,10,7,3
Fulham,West Brom,AD,1.83,1.91,2011,1.46,8,7,1
Sunderland,Norwich,H,1.91,1.86,2011,5.56,13,9,4
Arsenal,Blackburn,H,1.29,1.54,2011,3.44,5,8,-3
Man City,Fulham,H,1.3,1.58,2011,3.9,10,9,1
Norwich,Bolton,H,2.0,1.75,2011,0.23,8,8,0
QPR,Wolves,AD,1.91,1.89,2011,1.29,5,3,2
Stoke,Sunderland,AD,2.25,2.07,2011,0.95,6,13,-7
West Brom,Swansea,AD,2.1,2.14,2011,2.01,5,9,-4
Wigan,Everton,AD,3.5,2.04,2011,0.37,1,8,-7
Chelsea,Man United,AD,2.5,1.94,2011,1.17,9,12,-3
Newcastle,Aston Villa,H,2.0,1.91,2011,0.76,12,9,3
Liverpool,Tottenham,AD,2.0,2.03,2011,0.78,8,11,-3
Blackburn,QPR,H,2.38,1.88,2011,0.85,7,4,3
Bolton,Wigan,AD,2.0,1.75,2011,1.4,8,2,6
Everton,Chelsea,H,3.25,2.09,2011,0.41,6,9,-3
Fulham,Stoke,H,1.91,2.13,2011,1.0,8,5,3
Man United,Liverpool,H,1.85,1.95,2011,1.61,10,8,2
Sunderland,Arsenal,AD,3.5,1.9,2011,0.4,15,7,8
Swansea,Norwich,AD,1.83,1.94,2011,1.8,11,11,0
Tottenham,Newcastle,H,1.44,1.68,2011,2.62,11,12,-1
Aston Villa,Man City,AD,5.5,1.88,2011,0.34,8,12,-4
Wolves,West Brom,AD,2.5,1.87,2011,1.01,5,4,1
Chelsea,Bolton,H,1.29,1.51,2011,4.76,9,7,2
Man City,Blackburn,H,1.17,1.35,2011,5.09,15,7,8
Newcastle,Wolves,AD,1.57,1.76,2011,1.47,12,4,8
QPR,Fulham,AD,2.63,2.01,2011,0.89,4,10,-6
West Brom,Sunderland,H,2.4,2.05,2011,0.65,7,12,-5
Wigan,Aston Villa,AD,2.75,2.03,2011,0.44,4,5,-1
Arsenal,Tottenham,H,2.5,1.7,2011,0.99,7,11,-4
Norwich,Man United,AD,6.5,1.63,2011,0.06,13,13,0
Stoke,Swansea,H,2.1,2.17,2011,2.94,4,10,-6
Blackburn,Aston Villa,AD,2.38,1.84,2011,0.58,7,6,1
Liverpool,Arsenal,AD,2.0,1.85,2011,0.8,5,10,-5
Man City,Bolton,H,1.13,1.3,2011,4.71,15,4,11
QPR,Everton,AD,3.1,2.07,2011,0.56,4,9,-5
Stoke,Norwich,H,1.83,1.88,2011,5.29,4,10,-6
West Brom,Chelsea,H,4.2,1.91,2011,0.17,10,9,1
Wigan,Swansea,AD,2.5,2.08,2011,1.73,5,7,-2
Fulham,Wolves,H,1.57,1.76,2011,1.45,10,5,5
Newcastle,Sunderland,AD,2.1,1.95,2011,0.96,10,9,1
Tottenham,Man United,AD,2.88,1.76,2011,0.79,8,16,-8
Aston Villa,Fulham,H,2.5,2.04,2011,1.33,6,13,-7
Bolton,QPR,H,2.5,1.87,2011,0.93,4,5,-1
Chelsea,Stoke,H,1.4,1.76,2011,3.93,6,6,0
Everton,Tottenham,H,2.88,2.01,2011,0.6,10,7,3
Sunderland,Liverpool,H,3.8,2.1,2011,0.5,10,5,5
Wolves,Blackburn,AD,2.38,1.73,2011,0.9,4,5,-1
Man United,West Brom,H,1.29,1.53,2011,4.89,16,13,3
Norwich,Wigan,AD,1.83,1.8,2011,0.32,7,5,2
Swansea,Man City,H,6.0,1.88,2011,0.09,7,15,-8
Arsenal,Newcastle,H,1.44,1.59,2011,2.58,13,8,5
Liverpool,Everton,H,1.73,2.07,2011,1.3,4,12,-8
Fulham,Swansea,AD,1.83,2.02,2011,2.92,10,10,0
Wigan,West Brom,AD,2.75,1.96,2011,0.86,6,10,-4
Newcastle,Norwich,H,1.8,1.69,2011,5.36,8,7,1
Wolves,Man United,AD,9.0,1.53,2011,0.21,4,16,-12
Blackburn,Sunderland,H,2.4,1.95,2011,0.72,7,10,-3
Everton,Arsenal,AD,3.0,1.98,2011,0.61,11,16,-5
Man City,Chelsea,H,1.91,1.86,2011,0.99,12,8,4
QPR,Liverpool,H,5.0,1.95,2011,0.43,2,7,-5
Tottenham,Stoke,AD,1.4,1.71,2011,2.65,7,6,1
Arsenal,Aston Villa,H,1.33,1.66,2011,1.98,18,6,12
Bolton,Blackburn,H,2.4,1.76,2011,1.08,4,10,-6
Chelsea,Tottenham,AD,1.83,1.75,2011,1.48,7,5,2
Liverpool,Wigan,AD,1.29,1.62,2011,3.54,4,7,-3
Norwich,Wolves,H,1.73,1.69,2011,0.27,7,4,3
Stoke,Man City,AD,6.0,1.96,2011,0.26,7,15,-8
Sunderland,QPR,H,2.0,1.98,2011,1.18,7,4,3
Swansea,Everton,AD,2.2,2.26,2011,0.21,12,8,4
West Brom,Newcastle,AD,2.3,1.85,2011,0.68,10,8,2
Man United,Fulham,H,1.22,1.57,2011,3.36,16,9,7
Aston Villa,Chelsea,AD,4.5,1.98,2011,0.34,5,7,-2
Everton,West Brom,H,1.83,1.94,2011,2.34,10,10,0
Fulham,Norwich,H,1.7,1.71,2011,5.27,9,7,2
Man City,Sunderland,AD,1.22,1.53,2011,3.69,13,7,6
QPR,Arsenal,H,5.5,1.7,2011,0.34,4,18,-14
Wigan,Stoke,H,2.63,2.23,2011,0.59,9,8,1
Wolves,Bolton,AD,2.3,1.7,2011,0.84,1,6,-5
Newcastle,Liverpool,H,2.88,1.91,2011,0.49,8,3,5
Tottenham,Swansea,H,1.4,1.78,2011,7.79,5,9,-4
Blackburn,Man United,AD,9.0,1.58,2011,0.23,10,18,-8
Swansea,Newcastle,AD,2.4,2.01,2011,0.34,9,11,-2
Bolton,Fulham,AD,2.6,1.88,2011,0.83,9,9,0
Chelsea,Wigan,H,1.25,1.54,2011,6.68,10,9,1
Liverpool,Aston Villa,AD,1.44,1.75,2011,1.57,3,5,-2
Norwich,Everton,AD,3.0,2.07,2011,0.12,4,10,-6
Stoke,Wolves,H,1.57,1.81,2011,1.45,8,1,7
Sunderland,Tottenham,AD,3.3,1.88,2011,0.4,8,5,3
West Brom,Blackburn,H,1.91,1.76,2011,0.9,7,7,0
Arsenal,Man City,H,2.4,1.76,2011,0.67,15,11,4
Man United,QPR,H,1.17,1.39,2011,3.76,18,7,11
Aston Villa,Stoke,AD,2.2,2.2,2011,1.32,6,8,-2
Everton,Sunderland,H,1.83,2.11,2011,1.52,10,9,1
Fulham,Chelsea,AD,3.5,1.85,2011,0.25,9,10,-1
Newcastle,Bolton,H,1.53,1.66,2011,1.23,13,9,4
Tottenham,Norwich,AD,1.29,1.47,2011,14.04,6,5,1
Blackburn,Liverpool,AD,3.5,1.83,2011,0.37,7,4,3
Man City,West Brom,H,1.25,1.51,2011,5.67,8,7,1
QPR,Swansea,H,2.1,1.94,2011,2.62,7,9,-2
Wigan,Man United,H,9.0,1.69,2011,0.18,8,18,-10
Wolves,Arsenal,AD,7.0,1.53,2011,0.26,0,15,-15
Norwich,Man City,AD,6.0,1.6,2011,0.05,8,8,0
Sunderland,Wolves,AD,1.5,1.68,2011,1.52,8,0,8
Swansea,Blackburn,H,1.91,1.82,2011,0.45,6,6,0
West Brom,QPR,H,2.1,1.84,2011,0.77,4,9,-5
Man United,Aston Villa,H,1.22,1.5,2011,2.53,15,6,9
Arsenal,Wigan,AD,1.25,1.48,2011,4.45,15,11,4
Arsenal,Chelsea,AD,2.0,1.83,2011,0.67,12,11,1
Aston Villa,Sunderland,AD,2.3,2.1,2011,1.26,5,6,-1
Blackburn,Norwich,H,2.1,1.68,2011,4.03,3,7,-4
Bolton,Swansea,AD,2.2,1.79,2011,2.42,9,6,3
Fulham,Wigan,H,1.91,1.81,2011,1.69,7,13,-6
Newcastle,Stoke,H,1.67,1.92,2011,1.01,15,6,9
QPR,Tottenham,H,4.0,1.79,2011,0.34,9,6,3
Liverpool,West Brom,AD,1.44,1.67,2011,3.04,7,7,0
Man United,Everton,AD,1.3,1.63,2011,2.09,15,10,5
Wolves,Man City,AD,12.0,1.44,2011,0.18,1,11,-10
Aston Villa,Bolton,AD,1.91,1.9,2011,1.61,3,10,-7
Everton,Fulham,H,1.83,1.99,2011,1.6,11,10,1
Norwich,Liverpool,AD,3.8,1.73,2011,0.09,7,4,3
Stoke,Arsenal,AD,4.33,1.92,2011,0.38,6,10,-4
Sunderland,Bolton,AD,2.0,1.86,2011,1.27,7,10,-3
Swansea,Wolves,AD,1.53,1.71,2011,0.49,4,1,3
West Brom,Aston Villa,AD,2.1,1.88,2011,0.52,9,3,6
Wigan,Newcastle,H,2.8,1.9,2011,0.58,12,18,-6
Chelsea,QPR,H,1.4,1.61,2011,4.41,9,9,0
Tottenham,Blackburn,H,1.36,1.49,2011,3.49,6,3,3
Man City,Man United,H,2.1,1.71,2011,1.16,11,13,-2
Liverpool,Fulham,AD,1.62,1.77,2011,2.09,7,10,-3
Stoke,Everton,AD,2.75,2.14,2011,0.63,6,14,-8
Bolton,Tottenham,AD,4.0,1.74,2011,0.31,8,8,0
Chelsea,Newcastle,AD,1.5,1.6,2011,3.88,12,15,-3
Arsenal,Norwich,AD,1.22,1.36,2011,13.84,8,4,4
Aston Villa,Tottenham,AD,4.2,1.81,2011,0.5,4,10,-6
Bolton,West Brom,AD,2.0,1.7,2011,1.21,5,10,-5
Fulham,Sunderland,H,1.83,1.87,2011,0.95,13,5,8
