HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5
Everton,Liverpool,2,2,D,2.6,3.3,2.75,1.93,1.87
Newcastle,West Brom,2,1,H,2.0,3.5,3.75,1.78,2.03
Southampton,Tottenham,1,2,A,4.2,3.75,1.83,1.57,2.35
Fulham,Everton,2,2,D,2.75,3.4,2.5,1.78,2.04
Man United,Arsenal,2,1,H,1.7,3.8,5.0,1.62,2.29
Norwich,Stoke,1,0,H,2.6,3.3,2.75,2.1,1.73
Sunderland,Aston Villa,0,1,A,2.1,3.3,3.6,2.2,1.67
Swansea,Chelsea,1,1,D,4.5,3.6,1.8,1.68,2.16
Tottenham,Wigan,0,1,A,1.5,4.33,6.5,1.59,2.31
West Ham,Man City,0,0,D,5.0,3.8,1.7,1.67,2.2
Liverpool,Newcastle,1,1,D,1.57,4.0,6.0,1.75,2.08
QPR,Reading,1,1,D,1.8,3.6,4.5,1.79,2.03
West Brom,Southampton,2,0,H,1.73,3.75,4.75,1.67,2.19
Arsenal,Fulham,3,3,D,1.53,4.2,6.0,1.59,2.32
Aston Villa,Man United,2,3,A,7.0,4.5,1.44,1.64,2.24
Everton,Sunderland,2,1,H,1.44,4.2,8.0,1.88,1.91
Reading,Norwich,0,0,D,2.25,3.4,3.2,1.79,2.01
Southampton,Swansea,1,1,D,2.38,3.5,2.88,1.67,2.19
Stoke,QPR,1,0,H,1.91,3.4,4.2,2.07,1.74
Wigan,West Brom,1,2,A,2.3,3.4,3.1,1.82,1.98
Chelsea,Liverpool,1,1,D,1.95,3.5,4.0,1.75,2.07
Man City,Tottenham,2,1,H,1.57,4.0,6.0,1.64,2.23
Newcastle,West Ham,0,1,A,1.95,3.6,3.8,1.78,2.02
Arsenal,Tottenham,5,2,H,1.91,3.75,3.8,1.58,2.32
Liverpool,Wigan,3,0,H,1.44,4.33,7.5,1.66,2.19
Man City,Aston Villa,5,0,H,1.2,6.5,15.0,1.44,2.65
Newcastle,Swansea,1,2,A,1.91,3.6,4.0,1.81,1.99
Norwich,Man United,1,0,H,7.0,4.5,1.44,1.52,2.43
QPR,Southampton,1,3,A,1.91,3.6,4.0,1.66,2.2
Reading,Everton,2,1,H,4.33,3.6,1.83,1.69,2.15
West Brom,Chelsea,2,1,H,3.75,3.5,2.0,1.69,2.16
Fulham,Sunderland,1,3,A,1.67,3.75,5.25,1.82,1.98
West Ham,Stoke,1,1,D,2.0,3.4,3.8,2.12,1.7
Aston Villa,Arsenal,0,0,D,4.75,3.75,1.73,1.63,2.24
Everton,Norwich,1,1,D,1.44,4.33,7.5,1.65,2.21
Man United,QPR,3,1,H,1.17,7.5,15.0,1.37,2.96
Stoke,Fulham,1,0,H,2.2,3.3,3.4,2.03,1.77
Sunderland,West Brom,2,4,A,2.5,3.3,2.88,1.98,1.82
Wigan,Reading,3,2,H,1.83,3.6,4.33,1.77,2.03
Chelsea,Man City,0,0,D,2.5,3.5,2.7,1.61,2.26
Southampton,Newcastle,2,0,H,2.3,3.5,3.0,1.68,2.17
Swansea,Liverpool,0,0,D,3.4,3.5,2.1,1.78,2.02
Tottenham,West Ham,3,1,H,1.67,3.75,5.5,1.68,2.16
Aston Villa,Reading,1,0,H,1.95,3.4,4.0,1.86,1.93
Sunderland,QPR,0,0,D,2.25,3.25,3.3,2.11,1.71
Chelsea,Fulham,0,0,D,1.44,4.5,7.0,1.55,2.36
Everton,Arsenal,1,1,D,2.5,3.4,2.75,1.73,2.09
Man United,West Ham,1,0,H,1.22,6.5,12.0,1.4,2.8
Southampton,Norwich,1,1,D,2.0,3.4,3.8,1.74,2.08
Stoke,Newcastle,2,1,H,1.91,3.4,4.2,2.18,1.67
Swansea,West Brom,3,1,H,2.3,3.4,3.1,1.8,2.0
Tottenham,Liverpool,2,1,H,2.4,3.4,2.88,1.74,2.08
Wigan,Man City,0,2,A,6.0,4.2,1.53,1.64,2.23
Arsenal,Swansea,0,2,A,1.44,4.5,7.0,1.65,2.21
Fulham,Tottenham,0,3,A,2.88,3.3,2.5,1.7,2.12
Liverpool,Southampton,1,0,H,1.4,4.5,8.5,1.6,2.31
Man City,Everton,1,1,D,1.5,4.0,7.0,1.69,2.15
QPR,Aston Villa,1,1,D,1.95,3.5,4.0,2.01,1.79
Reading,Man United,3,4,A,7.5,4.75,1.4,1.58,2.32
West Brom,Stoke,0,1,A,2.1,3.25,3.75,2.1,1.73
West Ham,Chelsea,3,1,H,4.0,3.5,1.91,1.93,1.87
Norwich,Sunderland,2,1,H,2.1,3.3,3.6,2.16,1.68
Newcastle,Wigan,3,0,H,2.0,3.4,3.75,1.91,1.88
Arsenal,West Brom,2,0,H,1.5,4.33,6.5,1.63,2.25
Aston Villa,Stoke,0,0,D,2.4,3.2,3.1,2.32,1.59
Southampton,Reading,1,0,H,1.91,3.6,4.0,1.68,2.15
Sunderland,Chelsea,1,3,A,4.75,3.5,1.8,2.06,1.76
Swansea,Norwich,3,4,A,1.8,3.6,4.5,1.87,1.92
Wigan,QPR,2,2,D,2.3,3.4,3.1,1.87,1.92
Everton,Tottenham,2,1,H,2.0,3.5,3.75,1.84,1.96
Man City,Man United,2,3,A,2.2,3.5,3.2,1.65,2.2
West Ham,Liverpool,2,3,A,3.0,3.3,2.38,2.2,1.65
Fulham,Newcastle,2,1,H,1.91,3.6,4.0,1.81,1.99
Sunderland,Reading,3,0,H,2.0,3.5,3.75,2.02,1.78
Liverpool,Aston Villa,1,3,A,1.36,4.75,9.0,1.73,2.09
Man United,Sunderland,3,1,H,1.2,6.5,15.0,1.42,2.74
Newcastle,Man City,1,3,A,5.5,3.75,1.67,1.79,2.01
Norwich,Wigan,2,1,H,2.2,3.4,3.25,1.86,1.93
QPR,Fulham,2,1,H,2.4,3.4,2.88,1.84,1.96
Stoke,Everton,1,1,D,3.1,3.2,2.4,2.26,1.63
Tottenham,Swansea,1,0,H,1.62,4.0,5.5,1.66,2.19
West Brom,West Ham,0,0,D,2.0,3.5,3.75,1.9,1.9
Reading,Arsenal,2,5,A,5.5,4.0,1.62,1.61,2.28
Liverpool,Fulham,4,0,H,1.53,4.0,6.5,1.67,2.17
Man City,Reading,1,0,H,1.14,8.0,19.0,1.3,3.34
Newcastle,QPR,1,0,H,2.1,3.4,3.5,1.89,1.9
Southampton,Sunderland,0,1,A,2.0,3.5,3.75,1.9,1.89
Tottenham,Stoke,0,0,D,1.62,3.75,6.0,2.04,1.76
West Brom,Norwich,2,1,H,1.91,3.6,4.0,1.85,1.94
West Ham,Everton,1,2,A,2.88,3.25,2.5,2.08,1.73
Wigan,Arsenal,0,1,A,4.75,3.75,1.73,1.63,2.24
Chelsea,Aston Villa,8,0,H,1.33,5.5,8.5,1.52,2.43
Swansea,Man United,1,1,D,5.0,4.0,1.67,1.54,2.38
Aston Villa,Tottenham,0,4,A,3.75,3.5,2.0,1.85,1.95
Everton,Wigan,2,1,H,1.44,4.5,7.0,1.7,2.12
Fulham,Southampton,1,1,D,1.85,3.6,4.2,1.69,2.14
Man United,Newcastle,4,3,H,1.22,6.5,13.0,1.41,2.77
Norwich,Chelsea,0,1,A,6.0,3.75,1.62,1.69,2.14
QPR,West Brom,1,2,A,2.2,3.4,3.25,1.92,1.88
Reading,Swansea,0,0,D,2.9,3.4,2.38,1.74,2.06
Stoke,Liverpool,3,1,H,3.4,3.2,2.25,2.28,1.61
Sunderland,Man City,1,0,H,6.5,4.0,1.53,1.82,1.98
Arsenal,Newcastle,7,3,H,1.44,4.5,7.0,1.62,2.27
Aston Villa,Wigan,0,3,A,2.4,3.25,3.0,2.06,1.75
Fulham,Swansea,1,2,A,2.1,3.4,3.5,1.86,1.94
Man United,West Brom,2,0,H,1.3,5.5,10.0,1.45,2.65
Norwich,Man City,3,4,A,6.0,4.0,1.57,1.78,2.03
Reading,West Ham,1,0,H,2.88,3.25,2.5,1.89,1.91
Stoke,Southampton,3,3,D,1.8,3.5,4.75,2.1,1.72
Sunderland,Tottenham,1,2,A,3.5,3.4,2.1,2.01,1.79
Everton,Chelsea,1,2,A,2.88,3.3,2.5,1.87,1.93
QPR,Liverpool,0,3,A,4.0,3.5,1.91,1.94,1.86
Man City,Stoke,3,0,H,1.29,5.5,11.0,1.64,2.21
Southampton,Arsenal,1,1,D,5.0,3.75,1.7,1.59,2.28
Swansea,Aston Villa,2,2,D,1.57,4.0,6.0,1.83,1.97
Tottenham,Reading,3,1,H,1.33,5.0,10.0,1.59,2.29
West Brom,Fulham,1,2,A,2.0,3.5,3.75,1.83,1.97
West Ham,Norwich,2,1,H,2.1,3.4,3.5,1.87,1.92
Wigan,Man United,0,4,A,6.0,4.2,1.53,1.55,2.36
Chelsea,QPR,0,1,A,1.2,6.5,15.0,1.47,2.6
Liverpool,Sunderland,3,0,H,1.4,4.5,8.5,1.72,2.1
Newcastle,Everton,1,2,A,3.0,3.4,2.38,1.8,2.0
Aston Villa,Southampton,0,1,A,2.55,3.5,2.9,1.83,1.96
Everton,Swansea,0,0,D,1.57,4.2,6.5,1.71,2.12
Fulham,Wigan,1,1,D,2.05,3.5,4.0,1.74,2.08
Norwich,Newcastle,0,0,D,2.2,3.6,3.4,1.76,2.04
QPR,Tottenham,0,0,D,4.5,3.8,1.85,1.72,2.1
Reading,West Brom,3,2,H,3.0,3.4,2.5,1.82,1.97
Stoke,Chelsea,0,4,A,4.33,3.5,1.95,2.07,1.74
Sunderland,West Ham,3,0,H,2.38,3.3,3.3,2.11,1.72
Arsenal,Man City,0,2,A,2.63,3.5,2.8,1.71,2.12
Man United,Liverpool,2,1,H,1.91,3.8,4.2,1.58,2.31
Chelsea,Southampton,2,2,D,1.25,6.5,15.0,1.48,2.56
Liverpool,Norwich,5,0,H,1.33,5.5,10.5,1.51,2.48
Man City,Fulham,2,0,H,1.25,6.5,14.0,1.46,2.61
Newcastle,Reading,1,2,A,1.75,4.0,5.0,1.72,2.09
Swansea,Stoke,3,1,H,2.2,3.4,3.6,2.16,1.68
West Brom,Aston Villa,2,2,D,1.75,4.0,5.0,1.81,1.97
West Ham,QPR,1,1,D,2.1,3.5,3.75,1.97,1.82
Wigan,Sunderland,2,3,A,2.15,3.4,3.8,2.03,1.77
Chelsea,Arsenal,2,1,H,1.91,3.6,4.0,1.66,2.18
Tottenham,Man United,1,1,D,2.9,3.6,2.5,1.64,2.22
Southampton,Everton,0,0,D,3.6,3.5,2.05,1.78,2.03
Arsenal,West Ham,5,1,H,1.44,4.75,8.0,1.67,2.17
Aston Villa,Newcastle,1,2,A,2.9,3.4,2.6,1.91,1.89
QPR,Man City,0,0,D,7.5,4.5,1.5,1.68,2.16
Stoke,Wigan,2,2,D,2.2,3.3,3.75,2.26,1.63
Sunderland,Swansea,0,0,D,2.5,3.4,3.0,2.06,1.75
