HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,Season
Chelsea,Swansea,4,1,H,1.2,6.5,15.0,1.44,2.61,2011
Liverpool,Wolves,2,1,H,1.36,4.5,10.0,1.75,2.05,2011
Man City,Everton,2,0,H,1.44,4.33,7.5,1.67,2.15,2011
Newcastle,Blackburn,3,1,H,1.83,3.5,4.5,1.97,1.81,2011
Stoke,Man United,1,1,D,6.5,4.0,1.53,1.78,2.01,2011
West Brom,Fulham,0,0,D,2.3,3.25,3.25,2.08,1.73,2011
Wigan,Tottenham,1,2,A,4.0,3.5,1.91,1.9,1.88,2011
QPR,Aston Villa,1,1,D,2.3,3.25,3.2,2.21,1.64,2011
Norwich,Sunderland,2,1,H,2.5,3.4,2.8,1.98,1.8,2011
Aston Villa,Wigan,2,0,H,1.62,3.75,6.0,1.87,1.9,2011
Blackburn,Man City,0,4,A,6.5,3.75,1.57,1.69,2.13,2011
Everton,Liverpool,0,2,A,3.1,3.2,2.4,2.09,1.71,2011
Man United,Norwich,2,0,H,1.17,7.0,17.0,1.34,3.06,2011
Sunderland,West Brom,2,2,D,2.25,3.4,3.2,1.99,1.79,2011
Wolves,Newcastle,1,2,A,2.5,3.25,2.88,2.06,1.73,2011
Bolton,Chelsea,1,5,A,6.5,4.0,1.53,1.66,2.16,2011
Fulham,QPR,6,0,H,2.0,3.3,4.0,2.06,1.73,2011
Swansea,Stoke,2,0,H,2.63,3.25,2.75,2.26,1.61,2011
Tottenham,Arsenal,2,1,H,2.1,3.4,3.5,1.66,2.17,2011
Chelsea,Everton,3,1,H,1.36,4.5,10.0,1.67,2.14,2011
Liverpool,Man United,1,1,D,3.0,3.3,2.4,1.91,1.87,2011
Man City,Aston Villa,4,1,H,1.33,5.0,10.0,1.6,2.25,2011
Norwich,Swansea,3,1,H,2.2,3.3,3.4,2.01,1.78,2011
QPR,Blackburn,1,1,D,1.83,3.5,4.5,1.92,1.86,2011
Stoke,Fulham,2,0,H,2.2,3.2,3.5,2.21,1.63,2011
Wigan,Bolton,1,3,A,2.3,3.3,3.2,1.9,1.88,2011
Arsenal,Sunderland,2,1,H,1.44,4.33,7.5,1.66,2.16,2011
Newcastle,Tottenham,2,2,D,3.0,3.3,2.4,1.81,1.97,2011
West Brom,Wolves,2,0,H,2.0,3.3,4.0,1.93,1.84,2011
Aston Villa,West Brom,1,2,A,2.0,3.3,4.0,1.96,1.82,2011
Bolton,Sunderland,0,2,A,2.2,3.2,3.5,1.91,1.87,2011
Liverpool,Norwich,1,1,D,1.29,5.5,11.0,1.64,2.2,2011
Newcastle,Wigan,1,0,H,1.57,3.8,6.5,1.85,1.93,2011
Wolves,Swansea,2,2,D,2.0,3.4,3.8,1.97,1.8,2011
Arsenal,Stoke,3,1,H,1.53,4.0,6.5,1.75,2.03,2011
Blackburn,Tottenham,1,2,A,4.0,3.5,1.91,1.78,2.0,2011
