HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,Season
Aston Villa,Bolton,1,2,A,1.91,3.5,4.0,1.9,1.89,2011
Everton,Fulham,4,0,H,1.83,3.5,4.5,1.99,1.8,2011
Norwich,Liverpool,0,3,A,3.8,3.4,2.0,1.73,2.08,2011
Stoke,Arsenal,1,1,D,4.33,3.6,1.83,1.92,1.86,2011
Sunderland,Bolton,2,2,D,2.0,3.5,3.75,1.86,1.93,2011
Swansea,Wolves,4,4,D,1.53,4.0,6.5,1.71,2.1,2011
West Brom,Aston Villa,0,0,D,2.1,3.4,3.5,1.88,1.91,2011
Wigan,Newcastle,4,0,H,2.8,3.4,2.5,1.9,1.88,2011
Chelsea,QPR,6,1,H,1.4,4.5,8.5,1.61,2.24,2011
Tottenham,Blackburn,2,0,H,1.36,5.0,8.0,1.49,2.51,2011
Man City,Man United,1,0,H,2.1,3.5,3.4,1.71,2.11,2011
Liverpool,Fulham,0,1,A,1.62,4.0,5.5,1.77,2.03,2011
Stoke,Everton,1,1,D,2.75,3.25,2.6,2.14,1.69,2011
Bolton,Tottenham,1,4,A,4.0,3.6,1.91,1.74,2.07,2011
Chelsea,Newcastle,0,2,A,1.5,4.33,6.5,1.6,2.26,2011
Arsenal,Norwich,3,3,D,1.22,6.5,12.0,1.36,2.96,2011
Aston Villa,Tottenham,1,1,D,4.2,3.75,1.83,1.81,1.97,2011
Bolton,West Brom,2,2,D,2.0,3.5,3.75,1.7,2.1,2011
Fulham,Sunderland,2,1,H,1.83,3.6,4.33,1.87,1.9,2011
Man United,Swansea,2,0,H,1.17,7.0,17.0,1.38,2.85,2011
Newcastle,Man City,0,2,A,5.0,4.0,1.67,1.72,2.08,2011
QPR,Stoke,1,0,H,1.83,3.75,4.2,1.87,1.9,2011
Wolves,Everton,0,0,D,5.0,3.75,1.7,1.66,2.14,2011
Blackburn,Wigan,0,1,A,2.4,3.5,2.88,1.73,2.06,2011
Liverpool,Chelsea,4,1,H,2.1,3.5,3.4,1.83,1.96,2011
Chelsea,Blackburn,2,1,H,1.3,5.5,10.0,1.4,2.8,2011
Everton,Newcastle,3,1,H,2.2,3.5,3.2,1.85,1.94,2011
Man City,QPR,3,2,H,1.13,9.0,19.0,1.31,3.28,2011
Norwich,Aston Villa,2,0,H,2.2,3.4,3.25,1.69,2.14,2011
Stoke,Bolton,2,2,D,2.38,3.5,2.88,1.8,1.99,2011
Sunderland,Man United,0,1,A,7.0,4.5,1.44,1.6,2.27,2011
Swansea,Liverpool,1,0,H,3.4,3.5,2.1,1.71,2.11,2011
Tottenham,Fulham,2,0,H,1.4,4.5,8.5,1.63,2.23,2011
West Brom,Arsenal,2,3,A,5.0,4.0,1.67,1.58,2.31,2011
Wigan,Wolves,3,2,H,1.57,4.0,6.0,1.59,2.26,2011
