HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Season
West Brom,Newcastle,D,2.37,2.41,2017
Arsenal,Huddersfield,H,1.19,1.49,2017
Bournemouth,Burnley,A,2.0,2.19,2017
Chelsea,Swansea,H,1.18,1.53,2017
Everton,West Ham,H,2.37,2.02,2017
Man City,Southampton,H,1.19,1.41,2017
Stoke,Liverpool,A,6.5,1.57,2017
Arsenal,Man United,A,2.5,1.93,2017
Brighton,Liverpool,A,7.5,1.77,2017
Chelsea,Newcastle,H,1.25,1.61,2017
Everton,Huddersfield,H,1.72,2.04,2017
Leicester,Burnley,H,1.83,2.16,2017
Stoke,Swansea,H,1.95,2.19,2017
Watford,Tottenham,D,5.0,1.69,2017
West Brom,Crystal Palace,D,2.5,2.39,2017
Bournemouth,Southampton,D,2.89,2.16,2017
Man City,West Ham,H,1.08,1.24,2017
Burnley,Watford,H,2.6,2.27,2017
Crystal Palace,Bournemouth,D,2.04,2.08,2017
Huddersfield,Brighton,H,2.7,2.78,2017
Newcastle,Leicester,A,2.62,2.0,2017
Swansea,West Brom,H,2.7,2.63,2017
Tottenham,Stoke,H,1.28,1.51,2017
West Ham,Chelsea,H,7.5,1.8,2017
Liverpool,Everton,D,1.3,1.48,2017
Man United,Man City,A,3.39,1.83,2017
Southampton,Arsenal,D,4.0,1.8,2017
Burnley,Stoke,H,2.29,2.38,2017
Crystal Palace,Watford,H,2.29,1.84,2017
Huddersfield,Chelsea,A,9.0,1.95,2017
Liverpool,West Brom,D,1.22,1.52,2017
Man United,Bournemouth,H,1.28,1.63,2017
Newcastle,Everton,A,2.39,2.11,2017
Southampton,Leicester,A,2.1,2.04,2017
Swansea,Man City,A,15.0,1.49,2017
Tottenham,Brighton,H,1.25,1.62,2017
West Ham,Arsenal,D,5.25,1.66,2017
Arsenal,Newcastle,H,1.25,1.46,2017
Brighton,Burnley,D,2.62,2.8,2017
Chelsea,Southampton,H,1.39,1.72,2017
Leicester,Crystal Palace,A,1.89,1.92,2017
Man City,Tottenham,H,1.55,1.54,2017
Stoke,West Ham,A,2.29,2.08,2017
Watford,Huddersfield,A,1.8,2.03,2017
Bournemouth,Liverpool,A,6.5,1.57,2017
West Brom,Man United,A,6.5,2.07,2017
Everton,Swansea,H,1.72,2.25,2017
Arsenal,Liverpool,D,2.54,1.5,2017
Brighton,Watford,H,2.62,2.23,2017
Burnley,Tottenham,A,7.0,2.03,2017
Everton,Chelsea,D,6.0,2.05,2017
Leicester,Man United,D,4.5,1.93,2017
Man City,Bournemouth,H,1.12,1.23,2017
Southampton,Huddersfield,D,1.61,2.07,2017
Stoke,West Brom,H,2.29,2.34,2017
Swansea,Crystal Palace,D,3.29,2.37,2017
West Ham,Newcastle,A,2.1,2.15,2017
Bournemouth,West Ham,D,2.79,2.11,2017
Chelsea,Brighton,H,1.19,1.66,2017
Huddersfield,Stoke,D,2.5,2.3,2017
Liverpool,Swansea,H,1.16,1.4,2017
Man United,Burnley,D,1.25,1.75,2017
Tottenham,Southampton,H,1.36,1.69,2017
Watford,Leicester,H,2.54,1.76,2017
West Brom,Everton,D,2.54,2.49,2017
Newcastle,Man City,A,13.0,1.44,2017
Crystal Palace,Arsenal,A,4.5,1.62,2017
Bournemouth,Everton,H,2.37,2.11,2017
Chelsea,Stoke,H,1.16,1.46,2017
Huddersfield,Burnley,D,2.37,2.72,2017
