HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Avg>2.5,Avg<2.5
Liverpool,Leicester,3,0,H,1.85,4.0,3.8,1.59,2.39
Burnley,Crystal Palace,1,0,H,2.75,3.1,2.75,2.44,1.56
Wolves,Southampton,1,1,D,2.3,3.25,3.25,2.23,1.67
Crystal Palace,Newcastle,0,2,A,2.05,3.25,3.75,2.34,1.61
Brighton,Liverpool,1,1,D,5.5,4.2,1.57,1.58,2.4
Man City,Burnley,5,0,H,1.16,7.5,16.0,1.45,2.74
Everton,Leeds,0,1,A,1.95,3.8,3.6,1.62,2.31
West Brom,Sheffield United,1,0,H,2.6,3.2,2.8,2.28,1.63
Southampton,Man United,2,3,A,4.0,3.5,1.95,1.81,2.01
Chelsea,Tottenham,0,0,D,2.05,3.5,3.6,1.76,2.08
Arsenal,Wolves,1,2,A,2.05,3.4,3.75,2.31,1.62
Leicester,Fulham,1,2,A,1.5,4.33,6.5,1.73,2.12
West Ham,Aston Villa,2,1,H,2.25,3.6,3.0,1.71,2.15
Burnley,Everton,1,1,D,4.0,3.5,1.9,2.01,1.81
Man City,Fulham,2,0,H,1.1,11.0,19.0,1.3,3.48
West Ham,Man United,1,3,A,3.6,3.6,2.0,1.74,2.11
Chelsea,Leeds,3,1,H,1.5,4.5,6.0,1.5,2.59
West Brom,Crystal Palace,1,5,A,2.87,3.2,2.55,2.21,1.67
Sheffield United,Leicester,1,2,A,3.8,3.5,1.95,2.01,1.82
Tottenham,Arsenal,2,0,H,1.95,3.6,3.8,1.92,1.9
Liverpool,Wolves,4,0,H,1.5,4.33,6.5,1.75,2.1
Brighton,Southampton,1,2,A,2.45,3.4,2.9,1.94,1.88
Leeds,West Ham,1,2,A,2.15,3.7,3.1,1.58,2.4
Wolves,Aston Villa,0,1,A,2.25,3.25,3.25,2.05,1.79
Newcastle,West Brom,2,1,H,2.45,3.2,3.0,2.19,1.69
Man United,Man City,0,0,D,4.33,4.2,1.72,1.65,2.27
Everton,Chelsea,1,0,H,4.33,4.2,1.7,1.6,2.34
Southampton,Sheffield United,3,0,H,1.7,3.75,5.0,1.99,1.83
Crystal Palace,Tottenham,1,1,D,4.5,3.9,1.72,1.9,1.91
Fulham,Liverpool,1,1,D,9.0,5.5,1.3,1.42,2.84
Arsenal,Burnley,0,1,A,1.53,4.2,6.25,1.9,1.92
Leicester,Brighton,3,0,H,2.0,3.5,3.8,1.91,1.91
Wolves,Chelsea,2,1,H,5.25,3.8,1.66,2.06,1.78
Man City,West Brom,1,1,D,1.09,11.0,21.0,1.35,3.22
Arsenal,Southampton,1,1,D,2.25,3.5,3.1,1.8,2.03
Leeds,Newcastle,5,2,H,1.75,4.0,4.33,1.74,2.1
Leicester,Everton,0,2,A,2.15,3.6,3.25,1.69,2.17
Fulham,Brighton,0,0,D,2.87,3.3,2.5,2.05,1.77
Liverpool,Tottenham,2,1,H,1.75,3.8,4.5,1.66,2.24
West Ham,Crystal Palace,1,1,D,2.05,3.4,3.6,1.97,1.84
Aston Villa,Burnley,0,0,D,1.75,3.8,4.5,1.85,1.96
Sheffield United,Man United,2,3,A,7.0,4.6,1.44,1.83,1.99
Crystal Palace,Liverpool,0,7,A,6.5,4.33,1.5,1.62,2.32
Southampton,Man City,0,1,A,7.0,4.5,1.44,1.57,2.43
Everton,Arsenal,2,1,H,2.45,3.5,2.8,1.84,1.98
