"Team","Value [mln]"
"West Ham","114.45"
"Southampton","68.85"
"Fulham","114.50"
"Aston Villa","101.03"
"Liverpool","275.45"
"Sunderland","127.00"
"Newcastle","190.25"
"Arsenal","293.75"
"QPR","150.00"
"Reading","44.00"
"Wigan","81.50"
"Norwich","70.65"
"Stoke","119.05"
"Chelsea","408.50"
"West Brom","83.00"
"Man United","444.50"
"Man City","510.15"
"Swansea","88.00"
"Everton","124.80"
"Tottenham","309.53"
