"Team","Value [mln]"
"West Ham","185.20"
"Southampton","187.50"
"Watford","110.13"
"Norwich","103.75"
"Liverpool","325.00"
"Sunderland","128.25"
"Newcastle","200.65"
"Arsenal","408.60"
"Crystal Palace","121.00"
"Leicester","91.25"
"Bournemouth","68.03"
"Aston Villa","112.30"
"Stoke","127.25"
"Chelsea","579.80"
"West Brom","117.00"
"Man United","374.15"
"Man City","452.75"
"Swansea","138.20"
"Everton","204.13"
"Tottenham","253.75"
