Team,Value [mln]
Man City,1270
Liverpool,1090
Chelsea,797
Man United,775.2
Tottenham,1040
Arsenal,680.55
Leicester,384.75
Everton,525.5
Wolves,315.4
Aston Villa,184.6
West Ham,371.75
Brighton,225.83
Newcastle,312.58
Southampton,259.80
Norwich,110.85
Watford,270.65
Crystal Palace,248.65
Sheffield United,110.80
Burnley,205.58
Bournemouth,311.20
