Team,Value [mln]
Man City,1050
Liverpool,900.10
Chelsea,1050
Man United,833
Tottenham,819.60
Arsenal,593.30
Leicester,329
Everton,429.50
Wolves,160.43
Fulham,235.50
West Ham,309.70
Brighton,172.65
Newcastle,200
Southampton,270.55
Huddersfield,113.15
Watford,170.40
Crystal Palace,262.38
Cardiff,76
Burnley,185.75
Bournemouth,172.80
