"Team","Value [mln]"
"West Ham","128.25"
"Southampton","102.50"
"Fulham","148.35"
"Aston Villa","116.30"
"Liverpool","272.50"
"Sunderland","151.25"
"Newcastle","188.85"
"Arsenal","332.70"
"Crystal Palace","64.25"
"Reading","44.00"
"Hull","69.90"
"Norwich","95.75"
"Stoke","126.00"
"Chelsea","582.98"
"West Brom","91.95"
"Man United","511.75"
"Man City","479.00"
"Swansea","118.58"
"Everton","217.50"
"Tottenham","296.00"
