"Team","Value [mln]"
"Blackburn","90.65"
"Wolves","82.00"
"Fulham","118.55"
"Aston Villa","157.60"
"Liverpool","247.75"
"Sunderland","125.05"
"Newcastle","120.53"
"Arsenal","311.43"
"QPR","106.05"
"Bolton","98.15"
"Wigan","70.00"
"Norwich","22.50"
"Stoke","119.05"
"Chelsea","467.50"
"West Brom","81.38"
"Man United","398.25"
"Man City","461.80"
"Swansea","40.55"
"Everton","190.18"
"Tottenham","316.00"
