Team,Value [mln]
Man City,621.40
Liverpool,394.15
Chelsea,603.30
Man United,533.25
Tottenham,385.5
Arsenal,522.75
Leicester,175
Everton,284.35
Stoke,193.25
West Brom,115.10
West Ham,240.78
Middlesbrough,121.75
Hull,132.95
Southampton,214.25
Sunderland,112.50
Watford,189.35
Crystal Palace,215.70
Swansea,137.1
Burnley,81.80
Bournemouth,103.50
