"Team","Value [mln]"
"West Ham","123.00"
"Southampton","150.40"
"Burnley","36.75"
"Aston Villa","127.00"
"Liverpool","285.00"
"Sunderland","151.25"
"Newcastle","139.85"
"Arsenal","404.35"
"Crystal Palace","89.30"
"Leicester","55.85"
"Hull","122.25"
"QPR","115.05"
"Stoke","128.85"
"Chelsea","526.10"
"West Brom","100.60"
"Man United","522.40"
"Man City","478.00"
"Swansea","107.70"
"Everton","177.50"
"Tottenham","298.25"
