"Team","Value [mln]"
"Man City","1060"
"Liverpool","1030"
"Chelsea","880.10"
"Man United","758.10"
"Tottenham","721.55"
"Arsenal","599.35"
"Leicester","420.3"
"Everton","411.05"
"Wolves","318.80"
"Aston Villa","232.70"
"West Ham","295.15"
"Brighton","209.05"
"Newcastle","228.45"
"Southampton","211.20"
"Fulham","144.25"
"Leeds","128.05"
"Crystal Palace","188.5"
"Sheffield United","137.95"
"Burnley","154.78"
"West Brom","69"
