Team,Value [mln]
Man City,616.35
Liverpool,495
Chelsea,649.65
Man United,645.1
Tottenham,535.35
Arsenal,633.9
Leicester,252.10
Everton,346.75
Stoke,177.80
West Brom,165.5
West Ham,264.35
Brighton,106.75
Newcastle,167.28
Southampton,247.50
Huddersfield,64.4
Watford,167.3
Crystal Palace,194.43
Swansea,171.34
Burnley,96.85
Bournemouth,116.10
